user_type,sessions,users,avg_pageviews,avg_time_on_site_sec,median_pageviews,median_time_on_site_sec,session_pct
New Visitor,54681,54610,3.3660021945866863,250.85867704280156,1.0,85.0,0.7614465548933326
Returning Visitor,17131,10125,5.053809301238607,419.9279006677796,2.0,143.0,0.2385534451066674
