operating_system,sessions,pct
Windows,24759,0.34477524647691193
Macintosh,15523,0.21616164429343285
Android,12868,0.1791901075029243
iOS,12702,0.17687851612543865
Linux,3004,0.04183144878293321
Chrome OS,2344,0.032640784270038435
Unknown,495,0.006892998384671086
Windows Phone,61,0.0008494402049796691
Samsung,28,0.0003899069793349301
BlackBerry,15,0.00020887873892942683
Xbox,7,9.747674483373252e-05
Nintendo WiiU,5,6.962624630980895e-05
Firefox OS,1,1.3925249261961789e-05
